name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
o'brien,4.5,40,6.0,848,2,0,2,0.56,0.26,35.39,
armstrong,4.4,2,0.0,47,0,0,0,0.37,0.0,1.836666666666667,
metcalfe,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
begovic,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
dixon,4.0,0,0.0,90,0,0,0,0.0,0.0,3.9237786938038095,
mangala,5.0,39,0.0,1257,1,0,5,1.13,0.59,40.51,
bates,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
sherif,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
moyes,0.5,66,4.0,0,0,0,0,0.0,0.0,3.9237786938038095,
heath,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
coby ebere,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
nelson,5.0,27,0.0,483,1,1,1,1.07,0.96,41.24,
smith rowe,5.1,95,2.5,1722,5,2,7,4.04,1.68,83.33,
andersen,4.2,41,3.0,1863,0,0,4,0.45,0.38,27.06,
adama,4.6,73,0.5,1396,2,5,3,3.68,3.96,80.03,
andreas,4.9,70,4.0,1570,2,6,5,3.33,3.47,75.26,
bassey,4.5,67,3.5,2444,1,0,5,0.99,0.27,57.93,
benda,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
cairney,4.8,22,0.5,424,1,0,1,0.15,0.92,28.601666666666667,
castagne,4.2,41,3.5,1337,0,1,3,0.38,0.47,25.80333333333333,
diop,4.4,30,0.5,1258,0,0,1,0.51,0.06,13.97,
harris,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
iwobi,5.6,120,4.0,2360,7,4,6,3.51,5.36,103.76,
leno,5.0,94,7.0,2610,0,2,5,0.0,0.02,85.58479166666667,
lukić,4.8,42,0.0,1742,0,2,3,0.82,1.13,52.44,
mbabu,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
muniz,5.5,73,4.0,799,6,1,2,4.81,0.19,52.59,
raúl,5.5,118,5.0,1830,10,3,7,10.31,1.75,114.88,
